,price_aprox_usd,surface_covered_in_m2,lat,lon,neighborhood
3977,123420.0,44.0,-34.54179,-58.476815,Nuñez
3988,65000.0,37.0,-34.6282476151,-58.4653451944,Flores
3997,120000.0,40.0,-34.5574837,-58.4806697,Saavedra
4000,105000.0,45.0,-34.6025527,-58.4271351,Almagro
4003,107000.0,63.0,-34.6112189,-58.405421,Once
4008,145945.0,65.0,-34.6137748,-58.4777341,Villa Santa Rita
4012,185000.0,60.0,-34.5674591,-58.4323692,Palermo
4020,59800.0,32.0,-34.611205,-58.387349,Congreso
4023,110000.0,42.0,-34.5990818,-58.3791226,Centro / Microcentro
4044,57000.0,39.0,-34.6188284,-58.5188057,Villa Devoto
4053,59000.0,35.0,-34.639711,-58.477235,Floresta
4072,86000.0,36.0,-34.61335,-58.38465,Centro / Microcentro
4078,101942.83,32.0,-34.56822,-58.458337,Belgrano
4082,98000.0,35.0,-34.6037137392,-58.3815808896,Belgrano
4083,150000.0,60.0,-34.6532248,-58.5135284,Mataderos
4085,115000.0,70.0,-34.626304,-58.47368,Flores
4086,144000.0,53.0,-34.5971308,-58.4417361,Villa Crespo
4091,178000.0,52.0,-34.5875583567,-58.4145884958,Palermo
4105,263716.0,45.0,-34.567984,-58.4337562,Las Cañitas
4110,186000.0,63.0,-34.623771,-58.440083,Caballito
4112,210000.0,80.0,-34.6205971,-58.4608572,Flores
4114,74500.0,35.0,-34.6170265,-58.4484746,Caballito
4116,150000.0,38.0,-34.5890311,-58.4100626,Barrio Norte
4127,129000.0,72.0,-34.6051385,-58.4056608,Once
4139,165000.0,90.0,-34.5721502944,-58.4884859626,Villa Urquiza
4143,225000.0,70.0,-34.5859727,-58.4148281,Palermo
4146,151800.0,69.0,-34.6299244,-58.4098381,Parque Patricios
4150,180000.0,70.0,-34.5774019,-58.4285728,Palermo
4156,92000.0,40.0,-34.557305,-58.446278,Belgrano
4158,340000.0,66.0,-34.5741087,-58.4320288,Palermo
4170,140000.0,50.0,-34.5978249,-58.4164389,Palermo
4172,96878.57,42.0,-34.6321116,-58.3703982,Barracas
4173,134000.0,81.0,-34.637052,-58.472832,Floresta
4175,103900.0,71.0,-34.609443,-58.399132,Once
4176,194000.0,83.0,-34.556238,-58.468568,Nuñez
4185,106000.0,45.0,-34.6298858,-58.4098611,Parque Patricios
4187,179000.0,60.0,-34.5620844,-58.4566864,Belgrano
4189,94000.0,47.0,-34.5945973678,-58.4420452511,Villa Crespo
4199,142000.0,47.0,-34.5711496,-58.4232966,Palermo
4201,57000.0,31.0,-34.623204,-58.406636,San Cristobal
4212,170000.0,52.0,,,Barrio Norte
4221,106480.93,44.0,-34.6222103,-58.4043385,San Cristobal
4222,94188.0,31.0,-34.562909,-58.465303,Belgrano
4225,95000.0,35.0,-34.5785739,-58.43757,Palermo
4226,110000.0,60.0,,,Floresta
4239,93900.0,37.0,-34.597942,-58.415551,Palermo
4243,176000.0,47.0,-34.5620844,-58.4566864,Belgrano
4246,149000.0,70.0,-34.6021538,-58.4335529,Villa Crespo
4247,330000.0,75.0,-34.5625,-58.458333,Belgrano
4255,158000.0,53.0,-34.573032,-58.437266,Palermo
4256,125000.0,42.0,-34.616703,-58.4570045,Caballito
4257,85000.0,45.0,-34.6202698,-58.3931932,Balvanera
4259,169147.0,75.0,-34.5958969,-58.4715637,Paternal
4260,114000.0,47.0,-34.617497,-58.4578104,Caballito
4280,151163.26,69.0,-34.56633,-58.479707,Villa Urquiza
4285,78000.0,37.0,-34.6079346,-58.4200398,Almagro
4286,78000.0,45.0,-34.6028323,-58.3871904,Tribunales
4291,183000.0,60.0,-34.615941,-58.439588,Caballito
4298,125000.0,70.0,-34.6112232,-58.41567,Balvanera
4302,152000.0,77.0,-34.6138745,-58.4050396,Balvanera
4308,57634.0,35.0,-34.6186349,-58.478887,Flores
4313,119500.0,68.0,-34.60162174,-58.43416395,Villa Crespo
4317,249000.0,90.0,-34.609719,-58.43393,Caballito
4323,127000.0,45.0,-34.59770557,-58.4166613563,Palermo
4325,77000.0,33.0,,,
4329,80000.0,71.0,-34.610506,-58.409379,Balvanera
4334,109500.0,58.0,-34.5891219,-58.515064,Villa Devoto
