Date,Price
2020-01-02,154.49383544921875
2020-01-03,152.57009887695312
2020-01-06,152.96446228027344
2020-01-07,151.5697784423828
2020-01-08,153.9840545654297
2020-01-09,155.90774536132812
2020-01-10,155.18634033203125
2020-01-13,157.05239868164062
2020-01-14,155.94627380371094
2020-01-15,156.9561767578125
2020-01-16,159.8321533203125
2020-01-17,160.72666931152344
2020-01-21,160.1495819091797
2020-01-22,159.38003540039062
2020-01-23,160.36117553710938
2020-01-24,158.74526977539062
2020-01-27,156.09048461914062
2020-01-28,159.14926147460938
2020-01-29,161.63084411621094
2020-01-30,166.19003295898438
2020-01-31,163.73728942871094
2020-02-03,167.72900390625
2020-02-04,173.25009155273438
2020-02-05,173.0384979248047
2020-02-06,176.626220703125
2020-02-07,176.87628173828125
2020-02-10,181.50283813476562
2020-02-11,177.40533447265625
2020-02-12,177.6650390625
2020-02-13,176.7031707763672
2020-02-14,178.28060913085938
2020-02-18,180.0889129638672
2020-02-19,180.6290283203125
2020-02-20,177.87059020996094
2020-02-21,172.24765014648438
2020-02-24,164.82107543945312
2020-02-25,162.1012725830078
2020-02-26,164.12664794921875
2020-02-27,152.56246948242188
2020-02-28,156.2564239501953
2020-03-02,166.65359497070312
2020-03-03,158.66766357421875
2020-03-04,164.4931640625
2020-03-05,160.36520385742188
2020-03-06,155.83206176757812
2020-03-09,145.2709503173828
2020-03-10,155.20516967773438
2020-03-11,148.17404174804688
2020-03-12,134.12149047851562
2020-03-13,153.1894073486328
2020-03-16,130.61074829101562
2020-03-17,141.36480712890625
2020-03-18,135.41390991210938
2020-03-19,137.64186096191406
2020-03-20,132.4722137451172
2020-03-23,131.15087890625
2020-03-24,143.07191467285156
2020-03-25,141.70233154296875
2020-03-26,150.5659637451172
2020-03-27,144.38360595703125
2020-03-30,154.5396270751953
2020-03-31,152.1091766357422
2020-04-01,146.7080535888672
2020-04-02,149.7461700439453
2020-04-03,148.36695861816406
2020-04-06,159.4006805419922
2020-04-07,157.6838836669922
2020-04-08,159.26564025878906
2020-04-09,159.27528381347656
2020-04-13,159.63211059570312
2020-04-14,167.5312957763672
2020-04-15,165.7759246826172
2020-04-16,170.75265502929688
2020-04-17,172.25726318359375
2020-04-20,168.843017578125
2020-04-21,161.86013793945312
2020-04-22,167.35769653320312
2020-04-23,165.33229064941406
2020-04-24,168.35108947753906
2020-04-27,167.86888122558594
2020-04-28,163.77943420410156
2020-04-29,171.1288299560547
2020-04-30,172.84561157226562
2020-05-01,168.37042236328125
2020-05-04,172.48876953125
2020-05-05,174.340576171875
2020-05-06,176.05735778808594
2020-05-07,177.07972717285156
2020-05-08,178.12132263183594
2020-05-11,180.10818481445312
2020-05-12,176.02842712402344
2020-05-13,173.36642456054688
2020-05-14,174.1187286376953
2020-05-15,176.65536499023438
2020-05-18,178.3432159423828
2020-05-19,177.10865783691406
2020-05-20,179.56527709960938
2020-05-21,177.408447265625
2020-05-22,177.48587036132812
2020-05-26,175.60955810546875
2020-05-27,175.84165954589844
2020-05-28,175.44509887695312
2020-05-29,177.23435974121094
2020-06-01,176.82818603515625
2020-06-02,178.8398895263672
2020-06-03,179.2751007080078
2020-06-04,176.9152069091797
2020-06-05,181.05471801757812
2020-06-08,182.1766357421875
2020-06-09,183.56936645507812
2020-06-10,190.37826538085938
2020-06-11,180.1552734375
2020-06-12,181.57701110839844
2020-06-15,182.73760986328125
2020-06-16,187.21560668945312
2020-06-17,187.8635711669922
2020-06-18,189.8753204345703
2020-06-19,188.7437286376953
2020-06-22,193.98582458496094
2020-06-23,195.2818145751953
2020-06-24,191.34544372558594
2020-06-25,193.76336669921875
2020-06-26,189.88497924804688
2020-06-29,191.92572021484375
2020-06-30,196.82928466796875
2020-07-01,197.98023986816406
2020-07-02,199.48902893066406
2020-07-06,203.78329467773438
2020-07-07,201.4136962890625
2020-07-08,205.8433380126953
2020-07-09,207.284423828125
2020-07-10,206.65579223632812
2020-07-13,200.27243041992188
2020-07-14,201.51040649414062
2020-07-15,201.2105712890625
2020-07-16,197.22586059570312
2020-07-17,196.21998596191406
2020-07-20,204.65371704101562
2020-07-21,201.89727783203125
2020-07-22,204.79879760742188
2020-07-23,195.89112854003906
2020-07-24,194.69186401367188
2020-07-27,197.1581268310547
2020-07-28,195.38819885253906
2020-07-29,197.36123657226562
2020-07-30,197.20645141601562
2020-07-31,198.28005981445312
2020-08-03,209.4315185546875
2020-08-04,206.2882537841797
2020-08-05,205.94972229003906
2020-08-06,209.247802734375
2020-08-07,205.5048370361328
2020-08-10,201.4136962890625
2020-08-11,196.70359802246094
2020-08-12,202.32284545898438
2020-08-13,201.84890747070312
2020-08-14,202.0423583984375
2020-08-17,203.37705993652344
2020-08-18,204.54733276367188
2020-08-19,203.30636596679688
2020-08-20,208.03761291503906
2020-08-21,206.52513122558594
2020-08-24,207.17469787597656
2020-08-25,209.8699493408203
2020-08-26,214.40725708007812
2020-08-27,219.6717071533203
2020-08-28,221.9306640625
2020-08-31,218.6537322998047
2020-09-01,220.34066772460938
2020-09-02,224.58712768554688
2020-09-03,210.67462158203125
2020-09-04,207.7176513671875
2020-09-08,196.4810028076172
2020-09-09,204.84791564941406
2020-09-10,199.10836791992188
2020-09-11,197.8092498779297
2020-09-14,199.1471710205078
2020-09-15,202.41441345214844
2020-09-16,198.79812622070312
2020-09-17,196.723388671875
2020-09-18,194.2802276611328
2020-09-21,196.36463928222656
2020-09-22,201.09588623046875
2020-09-23,194.47412109375
2020-09-24,196.99485778808594
2020-09-25,201.48365783691406
2020-09-28,203.05430603027344
2020-09-29,200.9407501220703
2020-09-30,203.9171600341797
2020-10-01,205.9822235107422
2020-10-02,199.90335083007812
2020-10-05,203.96566772460938
2020-10-06,199.63189697265625
2020-10-07,203.43240356445312
2020-10-08,204.15956115722656
2020-10-09,209.23008728027344
2020-10-12,214.64964294433594
2020-10-13,216.0651397705078
2020-10-14,214.1260986328125
2020-10-15,212.96267700195312
2020-10-16,212.96267700195312
2020-10-19,207.68853759765625
2020-10-20,208.1054229736328
2020-10-21,208.25086975097656
2020-10-22,208.338134765625
2020-10-23,209.63726806640625
2020-10-26,203.6748046875
2020-10-27,206.74810791015625
2020-10-28,196.5004119873047
2020-10-29,198.47824096679688
2020-10-30,196.2967987060547
